,ARG,AUS,BGD,BOL,BRA,CAN,CHL,CHN,COL,CZE,DEU,EGY,GBR,GRC,GTM,IDN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KOR,MAR,MEX,NGA,NIC,NLD,PAK,PER,PHL,ROU,RUS,SRB,THA,TUR,UKR,USA,VEN,VNM,ZWE
DEU,0.06326238439583828,0.019369631717935386,0.0658665691823947,0.11752511768564118,0.07283752211217676,0.030231875844405686,0.06924931383262614,0.06731664075512889,0.09786998058076506,0.0430205285328143,,0.08440405711785792,0.02594229172101984,0.07154960187216372,0.10242061480252238,0.09214905756918101,0.05854128942690864,0.06672489721313545,0.08400587222080125,0.06010821665044174,0.06670530391348713,0.05378238796965258,0.07766335213345313,0.05566865714865784,0.0639800700444935,0.10365097076621939,0.07061709047393196,0.09866824147042666,0.027083093403634857,0.05888586501024897,0.134824829982101,0.08388176552751059,0.07260045092319324,0.06178770337040405,0.0670105098898889,0.04598078000360393,0.03447361643879022,0.07277678283341643,0.0399309329225026,0.1033823003480101,0.08698954669994972,0.06250402064843431
EGY,0.06350239017678717,0.09016703466088967,0.07217280656243394,0.08961922398609919,0.06197213044711441,0.109100310344887,0.09696542603805672,0.08497769177077258,0.07601170513534096,0.08730369169139193,0.08440405711785792,,0.09784192397740422,0.06385890193053295,0.0873761909757019,0.10207404350599883,0.08928627749446821,0.06213592633734123,0.0615344834087105,0.02284793169532589,0.08691444752630786,0.09212813828955765,0.08542301361593177,0.07544771200421546,0.06150652605670882,0.08860884926563427,0.06625519029814535,0.08731858531143163,0.11310421235570765,0.07208587212691867,0.0750155399968751,0.10634812647034021,0.054812350401638045,0.06808350951244976,0.051746757244438925,0.07696628093654703,0.06598878737540717,0.06397916129129842,0.08810028304579055,0.04397743717948056,0.11409712926184022,0.06423394773070058
GBR,0.052160648759376524,0.00833139092853825,0.10510136025564573,0.1131039591674565,0.05930801480741128,0.012246947639305408,0.061447978157359556,0.09988133879788816,0.08842611618864972,0.046639136573382485,0.02594229172101984,0.09784192397740422,,0.08132081117551251,0.08868788698936467,0.10668780591743494,0.06698512609542223,0.0638095901256385,0.07173631185271366,0.06527040456388793,0.09297474195752138,0.07037179879189157,0.07458313297441191,0.0668834901700973,0.0649574836636287,0.09677153521827866,0.07554599256517106,0.10222197393286869,0.017925141500274203,0.06789979129823528,0.12829529038651644,0.10183819046382622,0.08350665169483733,0.06754700571848034,0.05610811959954956,0.05459098585240248,0.06477967757234965,0.060589820811889614,0.019504942046139492,0.10820060464239707,0.10875925795904372,0.06656567148941732
GRC,0.05009145441500465,0.07256472900188835,0.08971777033940799,0.07175394882300831,0.03175245197669464,0.08322308373108464,0.053241206509332735,0.09695936175571902,0.057231615466643966,0.0602135810520795,0.07154960187216372,0.06385890193053295,0.08132081117551251,,0.07182986387570353,0.0869708762029988,0.07662255817572766,0.06180929387088086,0.04330759237331917,0.05661074260764127,0.061195441937875815,0.0609780858995327,0.06142121236397336,0.051672268355960775,0.04297880629445601,0.0567000771157275,0.058114778045279765,0.05770640087078704,0.0958616572376834,0.06719732845656207,0.06144495580980434,0.09962059538744529,0.026300512311286113,0.0478759403797288,0.03706553550697262,0.06011801910861239,0.047390325801111424,0.042339151483967025,0.06627919590557432,0.042452597825384235,0.10626260891836824,0.04591540477743164
GTM,0.04090746340736789,0.07850793705791208,0.13328345555527982,0.028714118048859552,0.04256059734042571,0.0784415626075055,0.04350672002024694,0.13178614442648232,0.021070881009638123,0.059999275382394725,0.10242061480252238,0.0873761909757019,0.08868788698936467,0.07182986387570353,,0.08941074522202955,0.07410853546998594,0.06993791633798005,0.05287428104051965,0.07930829970853975,0.1038193001514299,0.06722809863601809,0.052016771488045815,0.055403027353594814,0.03257359954907306,0.01729901359752414,0.05416054794064184,0.02829423311715062,0.11456160103515489,0.0631949908617091,0.04323990152117037,0.0964943101371801,0.04383156549929859,0.04320527280627513,0.029714405564838293,0.06322192952423485,0.08840252045848355,0.026289615117176552,0.06332884110090523,0.028276106690677386,0.11104223666273337,0.06340961892516483
IDN,0.08996507406806656,0.0974490716249557,0.06060259037590846,0.07503991604056974,0.06809156105786991,0.09789006369118042,0.0723510454464669,0.08303897844187197,0.06460995646035891,0.08792686722633279,0.09214905756918101,0.10207404350599883,0.10668780591743494,0.0869708762029988,0.08941074522202955,,0.027555705757079618,0.0490514516665731,0.08789012221872125,0.07644630200002893,0.11058886669094613,0.040269961929709844,0.03798301580107946,0.06843645617764363,0.05334169515783616,0.07571734804980011,0.03700292563018846,0.05590133315755253,0.12892611279051427,0.024177261983694014,0.09713565235033408,0.03129036379886411,0.06450544502492603,0.06512421480286242,0.09133368386773298,0.04305739218406497,0.04961285035822593,0.08215001081972159,0.09060427827781821,0.096495848965697,0.06488648700911805,0.04271524232333945
IND,0.06604783137163078,0.06116248750676851,0.060804930236290966,0.08647400272982901,0.07275389300154465,0.059618137771166264,0.07108636715891554,0.06594923965697462,0.0688260082532507,0.06545719900089474,0.05854128942690864,0.08928627749446821,0.06698512609542223,0.07662255817572766,0.07410853546998594,0.027555705757079618,,0.02808109907184986,0.06388108582117952,0.06165656738189572,0.094760574818267,0.032661763993995827,0.034924012783635966,0.05070707709071343,0.051415034990949536,0.08065665935850727,0.0392199284081276,0.06478681858354259,0.08519484899392737,0.02280491035627204,0.11178486549223873,0.035452276901126796,0.06568089781035587,0.051328124807444246,0.07139432601359617,0.020141838095363695,0.039323407713633775,0.06401329029451228,0.06340930789604073,0.08739891881420704,0.03744558758927444,0.041045885023412484
IRN,0.05935600605106026,0.05339396685678962,0.08436315859345977,0.08386477355876343,0.05811855297863774,0.056732824031395526,0.06272571303428111,0.05861235135146233,0.06840689316046246,0.05057336062666715,0.06672489721313545,0.06213592633734123,0.0638095901256385,0.06180929387088086,0.06993791633798005,0.0490514516665731,0.02808109907184986,,0.05777249404392053,0.03866492571946816,0.06432678476491534,0.04151141496909346,0.046821171043398266,0.04731623513541027,0.04318658989449083,0.0793374583376931,0.057351120770929444,0.07312947075855265,0.09830967622592438,0.048219548694060525,0.09962033870703875,0.04879332920496262,0.062463778513764875,0.04229165806049571,0.05203543766312181,0.030872628055761835,0.045176424475380596,0.052884325918809795,0.04781120581128273,0.07314378582330248,0.04368532060046914,0.04301798734477786
IRQ,0.036229410754689335,0.06481488539230601,0.10043974890570902,0.05769188733719897,0.04207209618113283,0.06725618948684345,0.042334605887366046,0.1017829360128512,0.043027114324048314,0.06522190593737764,0.08400587222080125,0.0615344834087105,0.07173631185271366,0.04330759237331917,0.05287428104051965,0.08789012221872125,0.06388108582117952,0.05777249404392053,,0.05535789579761835,0.08579633217685043,0.07180310855732225,0.05217258637227668,0.05673903451511869,0.0419659498492709,0.04666007864546019,0.0642209238214096,0.05094050636299791,0.09047949000800654,0.06807623268979393,0.0691906236042081,0.08620522161486054,0.05860723539174383,0.048840267485231514,0.034171034192493586,0.05554002226918073,0.06773903544302519,0.03885708068698705,0.05134132904553495,0.03891243176307649,0.09850914368184754,0.049007898066192004
JOR,0.060005049062463345,0.05268660042348488,0.08984593541374081,0.08321726798432297,0.04471651150690271,0.070661108865718,0.0677939319013177,0.07251991908630924,0.06909493843318733,0.053245086093374035,0.06010821665044174,0.02284793169532589,0.06527040456388793,0.05661074260764127,0.07930829970853975,0.07644630200002893,0.06165656738189572,0.03866492571946816,0.05535789579761835,,0.07288123766033912,0.05331484267505819,0.06394018922846763,0.055237464009659246,0.04542910595775719,0.07636618479835294,0.05945901362850547,0.0769298436665472,0.08776813893079508,0.06008000514068255,0.0827761225959653,0.06975770615756333,0.04540953096407964,0.046804508952427555,0.04479997644783133,0.06183467943140695,0.0501364860979086,0.052223192163367974,0.05246964271774702,0.06686111388631136,0.06815278407704263,0.05316171449850539
JPN,0.09098378282126948,0.0643831989365192,0.08577651932847062,0.11036168035521926,0.06934716304001867,0.07307545868278421,0.07873283379969774,0.06143166624405926,0.09715852433311915,0.05186734167544446,0.06670530391348713,0.08691444752630786,0.09297474195752138,0.061195441937875815,0.1038193001514299,0.11058886669094613,0.094760574818267,0.06432678476491534,0.08579633217685043,0.07288123766033912,,0.07836125244533318,0.09645888090321644,0.05675148085098157,0.06683142745799311,0.10487644459971078,0.10019649835155263,0.10516635910121215,0.09012711614727863,0.08296751748157527,0.11799233645315305,0.11836488439758291,0.07449301752406765,0.06232278799040964,0.06724366638805498,0.062489916575042916,0.05763166268701444,0.08012161438107841,0.06557036352682276,0.0880378859935276,0.12023076406559133,0.0801588229165606
KAZ,0.05349130927329472,0.059900826376206036,0.07142193988165728,0.0747317996366215,0.05281969439661165,0.05151000815444685,0.04747859675596101,0.05838424295926376,0.07025730917093427,0.032868959645704916,0.05378238796965258,0.09212813828955765,0.07037179879189157,0.0609780858995327,0.06722809863601809,0.040269961929709844,0.032661763993995827,0.04151141496909346,0.07180310855732225,0.05331484267505819,0.07836125244533318,,0.04499526224958587,0.02809468813588493,0.045176252851317315,0.06344503795567584,0.04869981983091247,0.060755967059959906,0.0842802106816649,0.035734667709258414,0.09363721349212188,0.029233179717360874,0.052545050502172126,0.01743968374402589,0.04521568382812076,0.033765617979758945,0.02355412376269926,0.04280799190611182,0.060280841093896885,0.07190514286198371,0.031218208504830085,0.04626061184195593
KEN,0.049139047775674335,0.0660329118056605,0.08190943797259177,0.05502735227301804,0.0432265750661819,0.06238271734921084,0.04513677370970684,0.1014796531760807,0.03708473752326745,0.06137336331209317,0.07766335213345313,0.08542301361593177,0.07458313297441191,0.06142121236397336,0.052016771488045815,0.03798301580107946,0.034924012783635966,0.046821171043398266,0.05217258637227668,0.06394018922846763,0.09645888090321644,0.04499526224958587,,0.04826845052708808,0.02717798365121354,0.0490236415032109,0.022847787556914072,0.04318099235227014,0.1050922003281942,0.03807257590113376,0.0768882835079828,0.047146974577064175,0.05354560924226583,0.04610896709128645,0.0452796938494229,0.033262078317553886,0.06257416474915117,0.044099634707117134,0.04985923084304278,0.057035092047423214,0.07663899614504772,0.023206300053973082
KOR,0.04370199379391126,0.0549797225964778,0.0744396511536588,0.06203176548143876,0.046285344373558565,0.05339558010856298,0.03744260479971416,0.0651270508437858,0.055695966748287265,0.02037176521164514,0.05566865714865784,0.07544771200421546,0.0668834901700973,0.051672268355960775,0.055403027353594814,0.06843645617764363,0.05070707709071343,0.04731623513541027,0.05673903451511869,0.055237464009659246,0.05675148085098157,0.02809468813588493,0.04826845052708808,,0.026396984688099367,0.05410583662134991,0.05266199166727792,0.05716293577056913,0.08183702396152752,0.03832250734855141,0.08374359042292888,0.07000415460798069,0.04430110723757973,0.015003322543229282,0.03332345770288248,0.026162091984525074,0.03248013852057026,0.03003015235781562,0.05543804584554052,0.056953140804455335,0.07944968543774399,0.05198612510939676
MAR,0.032569021355131025,0.05383774924159714,0.07028234966800284,0.032387034087581125,0.025336603167381552,0.055227958729113805,0.02479517608253912,0.08943252814329508,0.022264821962918162,0.03600917290658236,0.0639800700444935,0.06150652605670882,0.0649574836636287,0.04297880629445601,0.03257359954907306,0.05334169515783616,0.051415034990949536,0.04318658989449083,0.0419659498492709,0.04542910595775719,0.06683142745799311,0.045176252851317315,0.02717798365121354,0.026396984688099367,,0.028333095853277944,0.028708427690440966,0.029993357688445972,0.08547637972953695,0.034312330798926295,0.04686620402472495,0.06724457454577529,0.02512251830834182,0.030246367270786615,0.023100455832384976,0.0345420558433692,0.04949751275506635,0.022859397628518463,0.03900939334498602,0.032720683647937274,0.08101364562335396,0.03461716735914913
MEX,0.03578606709180196,0.0889874965588599,0.11028001377298731,0.010143123678449361,0.02674756358786529,0.08711405713498421,0.027566723894026254,0.11774154214222089,0.011514629576742695,0.06290531453620779,0.10365097076621939,0.08860884926563427,0.09677153521827866,0.0567000771157275,0.01729901359752414,0.07571734804980011,0.08065665935850727,0.0793374583376931,0.04666007864546019,0.07636618479835294,0.10487644459971078,0.06344503795567584,0.0490236415032109,0.05410583662134991,0.028333095853277944,,0.04925650215970326,0.013482104093973202,0.11483531660730528,0.061900822286263264,0.017972992269481947,0.08500966937509934,0.033091837926968556,0.04159243876772167,0.0326305948646559,0.0703834978381976,0.0789691752261,0.029279983129563692,0.07078849637319333,0.017229916288964732,0.10703403224586316,0.05674767135434796
NGA,0.04862577744666742,0.06805489878942615,0.06601643811465055,0.047098599367235816,0.03945399874307543,0.07356222870154899,0.051597534303724775,0.10289674168221064,0.036490395214970876,0.07212090826085867,0.07061709047393196,0.06625519029814535,0.07554599256517106,0.058114778045279765,0.05416054794064184,0.03700292563018846,0.0392199284081276,0.057351120770929444,0.0642209238214096,0.05945901362850547,0.10019649835155263,0.04869981983091247,0.022847787556914072,0.05266199166727792,0.028708427690440966,0.04925650215970326,,0.03414153860339586,0.09538110614418564,0.024421501252993125,0.062203766405472295,0.06802475124353398,0.031847962053625535,0.05135700297105639,0.051077570746320425,0.038790957570544404,0.0513552226069594,0.04157299439679515,0.06370786211300052,0.037411576574386866,0.09297437674197552,0.018668294784071057
NIC,0.04093880091677717,0.09246075358842822,0.09161811006214647,0.006465912601814171,0.03075197026610509,0.09328937298270668,0.04195157542531828,0.11311812713817451,0.006918900548634881,0.07542518869157319,0.09866824147042666,0.08731858531143163,0.10222197393286869,0.05770640087078704,0.02829423311715062,0.05590133315755253,0.06478681858354259,0.07312947075855265,0.05094050636299791,0.0769298436665472,0.10516635910121215,0.060755967059959906,0.04318099235227014,0.05716293577056913,0.029993357688445972,0.013482104093973202,0.03414153860339586,,0.11467457090284021,0.051723011202700224,0.02569936063830195,0.08121083871296671,0.026740556778294382,0.04773979584559924,0.04506190002926012,0.06102593747029313,0.07324362998607764,0.04385847356868701,0.07799138067209162,0.020802671463282223,0.10470503637584377,0.03821246111851744
NLD,0.06589343949646793,0.022834364013433545,0.1035622919318185,0.12679602306790153,0.08181426069571072,0.02592459296413514,0.07722630849478575,0.09927151223090319,0.10895820361430701,0.057700093510770614,0.027083093403634857,0.11310421235570765,0.017925141500274203,0.0958616572376834,0.11456160103515489,0.12892611279051427,0.08519484899392737,0.09830967622592438,0.09047949000800654,0.08776813893079508,0.09012711614727863,0.0842802106816649,0.1050922003281942,0.08183702396152752,0.08547637972953695,0.11483531660730528,0.09538110614418564,0.11467457090284021,,0.07818009262309707,0.14547010229719906,0.1239284263230986,0.09496085842850158,0.08009191912344692,0.07520320292495035,0.06858276499154047,0.06839537561964139,0.08111349185896849,0.04590975167359846,0.12298532958885286,0.1353860154776762,0.08881140313568384
PAK,0.060830774367423984,0.06644896758719751,0.03700732779067925,0.06468162039379048,0.06121413280263261,0.06528953417318249,0.05948881904171224,0.06836935515396828,0.05743450593963472,0.05990111747905118,0.05888586501024897,0.07208587212691867,0.06789979129823528,0.06719732845656207,0.0631949908617091,0.024177261983694014,0.02280491035627204,0.048219548694060525,0.06807623268979393,0.06008000514068255,0.08296751748157527,0.035734667709258414,0.03807257590113376,0.03832250734855141,0.034312330798926295,0.061900822286263264,0.024421501252993125,0.051723011202700224,0.07818009262309707,,0.08165717900639974,0.04546366270393022,0.046209197128132914,0.04779677604357338,0.06357902229432263,0.0268870499934704,0.040786611894420614,0.053543975482471,0.06617046569937932,0.06795638623320946,0.05775843054230847,0.04590393379566035
PER,0.05722033355607831,0.1188505302161999,0.1218290512377096,0.020759024009217922,0.028647492930524543,0.12579518959535493,0.05371096874839813,0.13125105357512076,0.024727222487615063,0.09451616301204172,0.134824829982101,0.0750155399968751,0.12829529038651644,0.06144495580980434,0.04323990152117037,0.09713565235033408,0.11178486549223873,0.09962033870703875,0.0691906236042081,0.0827761225959653,0.11799233645315305,0.09363721349212188,0.0768882835079828,0.08374359042292888,0.04686620402472495,0.017972992269481947,0.062203766405472295,0.02569936063830195,0.14547010229719906,0.08165717900639974,,0.12932223810789417,0.02796827420400338,0.0684054385056076,0.05136986667070292,0.09927325092804458,0.09663346623854113,0.0470108656504876,0.10101833406160769,0.02815422042989914,0.1457770628523544,0.06850402583299202
PHL,0.08029805037753138,0.09173341390451666,0.08144914765860987,0.09957433642577831,0.08070569879299307,0.0827149609392898,0.06848782607725257,0.07647193658049747,0.08795687432824982,0.06775230338276783,0.08388176552751059,0.10634812647034021,0.10183819046382622,0.09962059538744529,0.0964943101371801,0.03129036379886411,0.035452276901126796,0.04879332920496262,0.08620522161486054,0.06975770615756333,0.11836488439758291,0.029233179717360874,0.047146974577064175,0.07000415460798069,0.06724457454577529,0.08500966937509934,0.06802475124353398,0.08121083871296671,0.1239284263230986,0.04546366270393022,0.12932223810789417,,0.09458332454841356,0.05144542257324287,0.07837394086148067,0.0545414724420609,0.05255169839615574,0.08173341936953725,0.08540400619524773,0.10699135921610396,0.04017186295152017,0.061173144619625815
ROU,0.03919112379265042,0.07419779259073553,0.07909669864514014,0.03586741247725581,0.02137775396662116,0.08665820046421602,0.04602238569718529,0.09307402956168175,0.028649178887442946,0.058951710710188836,0.07260045092319324,0.054812350401638045,0.08350665169483733,0.026300512311286113,0.04383156549929859,0.06450544502492603,0.06568089781035587,0.062463778513764875,0.05860723539174383,0.04540953096407964,0.07449301752406765,0.052545050502172126,0.05354560924226583,0.04430110723757973,0.02512251830834182,0.033091837926968556,0.031847962053625535,0.026740556778294382,0.09496085842850158,0.046209197128132914,0.02796827420400338,0.09458332454841356,,0.041281975884834,0.032937778709065384,0.05910147209716118,0.05349129808781126,0.03276444939873285,0.06593721743950316,0.02189926450528166,0.09430958639320912,0.038134301405791
RUS,0.02761784578289017,0.05519655499108827,0.08559499538871211,0.04939182140884176,0.03966515692301946,0.04806676503675915,0.031804076962831926,0.06635933038216323,0.04810601464110737,0.016967792234240893,0.06178770337040405,0.06808350951244976,0.06754700571848034,0.0478759403797288,0.04320527280627513,0.06512421480286242,0.051328124807444246,0.04229165806049571,0.048840267485231514,0.046804508952427555,0.06232278799040964,0.01743968374402589,0.04610896709128645,0.015003322543229282,0.030246367270786615,0.04159243876772167,0.05135700297105639,0.04773979584559924,0.08009191912344692,0.04779677604357338,0.0684054385056076,0.05144542257324287,0.041281975884834,,0.01559861252448466,0.03820692085914232,0.03567675542756244,0.01813830906973906,0.05067531798906578,0.038525510055492054,0.058538773118911716,0.048498626668952674
SRB,0.013633257534150504,0.04818653318694089,0.10482439321386744,0.042835380945297506,0.026603841956877948,0.04762028091797378,0.025520589686025053,0.09580648969233779,0.03543023231539174,0.02734503495094432,0.0670105098898889,0.051746757244438925,0.05610811959954956,0.03706553550697262,0.029714405564838293,0.09133368386773298,0.07139432601359617,0.05203543766312181,0.034171034192493586,0.04479997644783133,0.06724366638805498,0.04521568382812076,0.0452796938494229,0.03332345770288248,0.023100455832384976,0.0326305948646559,0.051077570746320425,0.04506190002926012,0.07520320292495035,0.06357902229432263,0.05136986667070292,0.07837394086148067,0.032937778709065384,0.01559861252448466,,0.052541430473383,0.058136777124334654,0.00926242191322076,0.03912388255115437,0.02615127082586862,0.0909880445526876,0.04513796104007904
THA,0.05196749691830096,0.04867572024315434,0.05383171854372994,0.07607831121717,0.05635885387267051,0.04465106842497299,0.05063375435782215,0.06085121404034668,0.05843210003757351,0.04684943908688121,0.04598078000360393,0.07696628093654703,0.05459098585240248,0.06011801910861239,0.06322192952423485,0.04305739218406497,0.020141838095363695,0.030872628055761835,0.05554002226918073,0.06183467943140695,0.062489916575042916,0.033765617979758945,0.033262078317553886,0.026162091984525074,0.0345420558433692,0.0703834978381976,0.038790957570544404,0.06102593747029313,0.06858276499154047,0.0268870499934704,0.09927325092804458,0.0545414724420609,0.05910147209716118,0.03820692085914232,0.052541430473383,,0.02658116053706382,0.04570945955001202,0.04678155393665476,0.07503081141148617,0.0667629152921606,0.03388758657683155
