arm,country,item,dimension,raw,normalized,human_available,tvd
base_fixed_USA,ARG,Q58,trust,3.4583392679043596,0.81944642263478651,True,0.41903728536866697
persona,ARG,Q58,trust,3.6102429494240793,0.87008098314135973,True,0.26629236593751476
uniform,ARG,Q58,trust,2.5,0.5,True,0.62058288233881986
human,ARG,Q58,trust,3.8476131314223725,0.94920437714079087,True,0
adapter,ARG,Q59,trust,3.0090960987702555,0.66969869959008521,True,0.40808167342963797
adapter_persona,ARG,Q59,trust,2.9228544474658822,0.64095148248862743,True,0.27007772314392442
armA,ARG,Q59,trust,2.3966333344578739,0.4655444448192913,True,0.32122124463312279
armB,ARG,Q59,trust,1,0,True,0.95372741892156587
base,ARG,Q59,trust,2.983595522284181,0.6611985074280603,True,0.39638973489091511
base_fixed_USA,ARG,Q59,trust,2.983595522284181,0.6611985074280603,True,0.39638973489091511
persona,ARG,Q59,trust,2.8131807051326843,0.60439356837756142,True,0.2385368958342029
uniform,ARG,Q59,trust,2.5,0.5,True,0.27988874915755585
human,ARG,Q59,trust,3.0034093668558763,0.66780312228529215,True,0
adapter,ARG,Q60,trust,3.1982479092443223,0.73274930308144082,True,0.28569094000322715
adapter_persona,ARG,Q60,trust,3.1301686942327516,0.71005623141091723,True,0.15039896065978342
armA,ARG,Q60,trust,2.3966333344578739,0.4655444448192913,True,0.33276591847810855
armB,ARG,Q60,trust,1,0,True,0.9496759667044723
base,ARG,Q60,trust,3.1744187249712632,0.72480624165708774,True,0.30208891345195998
base_fixed_USA,ARG,Q60,trust,3.1939495615702511,0.731316520523417,True,0.28297797836145033
persona,ARG,Q60,trust,3.0299714742437089,0.67665715808123628,True,0.29181564828568179
uniform,ARG,Q60,trust,2.5,0.5,True,0.2914334230025416
human,ARG,Q60,trust,3.0223799697530778,0.67412665658435922,True,0
adapter,ARG,Q61,trust,2.8538385622225508,0.61794618740751694,True,0.57129622434648564
adapter_persona,ARG,Q61,trust,2.6831850617586883,0.56106168725289607,True,0.36012913168295718
armA,ARG,Q61,trust,2.3966333344578739,0.4655444448192913,True,0.22611879430965126
armB,ARG,Q61,trust,1,0,True,0.76717557705087969
base,ARG,Q61,trust,2.8862271848811725,0.62874239496039086,True,0.59609923305611423
base_fixed_USA,ARG,Q61,trust,2.8862271848811716,0.62874239496039053,True,0.59609923305611412
persona,ARG,Q61,trust,2.2657325022549499,0.42191083408498331,True,0.2547803420776934
uniform,ARG,Q61,trust,2.5,0.5,True,0.22440749056691359
human,ARG,Q61,trust,2.1316689764398529,0.37722299214661764,True,0
adapter,ARG,Q62,trust,2.9905822525491201,0.66352741751637334,True,0.5004777863661487
adapter_persona,ARG,Q62,trust,2.8335477954858819,0.61118259849529399,True,0.25245254844100568
armA,ARG,Q62,trust,2.3966333344578739,0.4655444448192913,True,0.23050164238572901
armB,ARG,Q62,trust,1,0,True,0.87904834495879003
base,ARG,Q62,trust,2.9833965110535146,0.66113217035117156,True,0.49390728842896353
base_fixed_USA,ARG,Q62,trust,2.9830138094600915,0.66100460315336385,True,0.49372267510342704
persona,ARG,Q62,trust,2.8975831070109979,0.63252770233699929,True,0.33756703987604253
uniform,ARG,Q62,trust,2.5,0.5,True,0.22879033864299131
human,ARG,Q62,trust,2.6424375792383215,0.54747919307944048,True,0
adapter,ARG,Q63,trust,2.9915974834368178,0.66386582781227255,True,0.46757540577013973
adapter_persona,ARG,Q63,trust,2.8727408550378657,0.62424695167928856,True,0.26853169320604969
armA,ARG,Q63,trust,2.3966333344578739,0.4655444448192913,True,0.25098873160390078
armB,ARG,Q63,trust,1,0,True,0.86726042365952671
base,ARG,Q63,trust,2.9770270168155579,0.65900900560518594,True,0.46057234490740595
base_fixed_USA,ARG,Q63,trust,2.9708565747832969,0.6569521915944323,True,0.4548035736351051
persona,ARG,Q63,trust,2.762117061871995,0.58737235395733167,True,0.23884548236025527
uniform,ARG,Q63,trust,2.5,0.5,True,0.24927742786116314
human,ARG,Q63,trust,2.5709515395532483,0.52365051318441613,True,0
adapter,ARG,Q64,trust,2.8492791558657795,0.61642638528859317,True,0.24025756689289335
adapter_persona,ARG,Q64,trust,2.8498618161934224,0.6166206053978075,True,0.087547009502227283
armA,ARG,Q64,trust,2.3966333344578739,0.4655444448192913,True,0.15337026750879279
armB,ARG,Q64,trust,1,0,True,0.86469592589288247
base,ARG,Q64,trust,2.7190908498138544,0.5730302832712848,True,0.21213292244889492
base_fixed_USA,ARG,Q64,trust,2.7121755996547465,0.57072519988491555,True,0.20865821546686986
persona,ARG,Q64,trust,2.6233339129637594,0.54111130432125309,True,0.064973057113927868
uniform,ARG,Q64,trust,2.5,0.5,True,0.15165896376605512
human,ARG,Q64,trust,2.6653816051799781,0.55512720172665941,True,0
adapter,ARG,Q69,trust,2.8268490913878956,0.60894969712929858,True,0.46748608506302491
adapter_persona,ARG,Q69,trust,2.340922352438688,0.44697411747956267,True,0.25827417091013533
armA,ARG,Q69,trust,2.3966333344578739,0.4655444448192913,True,0.17741052069276045
armB,ARG,Q69,trust,1,0,True,0.73300509655950552
base,ARG,Q69,trust,2.8239255680105337,0.60797518933684458,True,0.46625558539121092
base_fixed_USA,ARG,Q69,trust,2.8239255680105337,0.60797518933684458,True,0.46625558539121092
persona,ARG,Q69,trust,2.1446110685976589,0.38153702286588631,True,0.36516363913654665
uniform,ARG,Q69,trust,2.5,0.5,True,0.19857237470453756
human,ARG,Q69,trust,2.0917386014644506,0.36391286715481685,True,0
adapter,ARG,Q70,trust,2.8115150262358921,0.60383834207863074,True,0.56990429114590024
adapter_persona,ARG,Q70,trust,2.2961882781017504,0.43206275936725014,True,0.32288212272321948
armA,ARG,Q70,trust,2.3966333344578739,0.4655444448192913,True,0.26267857670394623
armB,ARG,Q70,trust,1,0,True,0.62912756739764086
base,ARG,Q70,trust,2.7842146278064543,0.59473820926881815,True,0.54562261811744805
base_fixed_USA,ARG,Q70,trust,2.8090073137919416,0.60300243793064723,True,0.5688440515519011
persona,ARG,Q70,trust,2.0908872042941025,0.36362906809803414,True,0.3809338574731001
uniform,ARG,Q70,trust,2.5,0.5,True,0.30401107217951318
human,ARG,Q70,trust,1.8425402747977004,0.28084675826590016,True,0
adapter,ARG,Q71,trust,2.2727031823118486,0.42423439410394953,True,0.35817500766653998
adapter_persona,ARG,Q71,trust,2.2657266704026919,0.42190889013423066,True,0.27792330090148087
armA,ARG,Q71,trust,2.3966333344578739,0.4655444448192913,True,0.17211480166429166
armB,ARG,Q71,trust,1,0,True,0.6854786197913616
base,ARG,Q71,trust,2.2989848745952024,0.43299495819840078,True,0.3500867824836611
base_fixed_USA,ARG,Q71,trust,2.2980648346585788,0.43268827821952627,True,0.34938711786479792
persona,ARG,Q71,trust,2.0170767151845457,0.33902557172818187,True,0.51928518521737232
uniform,ARG,Q71,trust,2.5,0.5,True,0.20227623482620233
human,ARG,Q71,trust,2.0317881111698073,0.34392937038993576,True,0
adapter,ARG,Q73,trust,2.5491291165331007,0.51637637217770027,True,0.34704781072145496
adapter_persona,ARG,Q73,trust,2.4126108112889382,0.47087027042964608,True,0.29557112075103709
armA,ARG,Q73,trust,2.3966333344578739,0.4655444448192913,True,0.24481168602050341
armB,ARG,Q73,trust,1,0,True,0.65128784116612715
base,ARG,Q73,trust,2.5257526779952375,0.50858422599841246,True,0.33872051967871641
base_fixed_USA,ARG,Q73,trust,2.4940816124279097,0.49802720414263657,True,0.33932241078084963
persona,ARG,Q73,trust,2.0733980580572937,0.35779935268576457,True,0.35462651291115621
uniform,ARG,Q73,trust,2.5,0.5,True,0.28614418149607035
human,ARG,Q73,trust,1.8790731252702095,0.29302437509006984,True,0
adapter,ARG,Q81,posrecip,3.0107505566711157,0.67025018555703852,True,0.33286217428043297
adapter_persona,ARG,Q81,posrecip,2.9562758231670281,0.65209194105567603,True,0.11931785966184137
armA,ARG,Q81,posrecip,2.5798396542668343,0.52661321808894479,True,0.22582525870194217
armB,ARG,Q81,posrecip,4,1,True,0.79828526728654758
base,ARG,Q81,posrecip,2.9243805538575098,0.64146018461916998,True,0.31189989009352465
base_fixed_USA,ARG,Q81,posrecip,2.933953426269869,0.64465114208995633,True,0.30517286598910714
persona,ARG,Q81,posrecip,2.7515488887780979,0.58384962959269926,True,0.14356364715647352
uniform,ARG,Q81,posrecip,2.5,0.5,True,0.23328917669364185
human,ARG,Q81,posrecip,2.8044760432059332,0.60149201440197775,True,0
adapter,ARG,Q99,altruism,1.7917623109074921,0.89588115545374603,True,0.88789171904396003
adapter_persona,ARG,Q99,altruism,1.4504767888829082,0.7252383944414541,True,0.91239053052480956
armA,ARG,Q99,altruism,1.0136733409017322,0.50683667045086611,True,0.60871053335179148
armB,ARG,Q99,altruism,2,1,True,0.98276152526965677
base,ARG,Q99,altruism,1.3267352684482283,0.66336763422411416,True,0.70166059136424763
base_fixed_USA,ARG,Q99,altruism,1.2792851299000041,0.63964256495000205,True,0.68519912057977672
persona,ARG,Q99,altruism,0.37718449177365998,0.18859224588682999,True,0.26377497921397441
uniform,ARG,Q99,altruism,1,0.5,True,0.60189723375164728
human,ARG,Q99,altruism,0.082007907645362615,0.041003953822681308,True,0
adapter,ARG,Q101,altruism,1.7307355704716361,0.86536778523581803,True,0.84426535740905884
adapter_persona,ARG,Q101,altruism,1.4868737135190795,0.74343685675953974,True,0.8849001162709591
armA,ARG,Q101,altruism,1.0136733409017322,0.50683667045086611,True,0.57481364628098719
armB,ARG,Q101,altruism,2,1,True,0.97107802769533991
base,ARG,Q101,altruism,1.22445469264022,0.61222734632011,True,0.6428185775609162
base_fixed_USA,ARG,Q101,altruism,1.2169858475220729,0.60849292376103647,True,0.65142080030000638
persona,ARG,Q101,altruism,0.6222047315969691,0.31110236579848455,True,0.42334695011773515
uniform,ARG,Q101,altruism,1,0.5,True,0.56800034668084287
human,ARG,Q101,altruism,0.12758829229048391,0.063794146145241953,True,0
adapter,ARG,Q103,altruism,1.334845322655734,0.66742266132786698,True,0.69576148516424174
adapter_persona,ARG,Q103,altruism,1.4629939256574727,0.73149696282873633,True,0.89301423535897995
armA,ARG,Q103,altruism,1.0136733409017322,0.50683667045086611,True,0.60860898054520218
armB,ARG,Q103,altruism,2,1,True,0.9872358744046501
base,ARG,Q103,altruism,0.64442636526289543,0.32221318263144771,True,0.32537000914366809
base_fixed_USA,ARG,Q103,altruism,0.64442636526289543,0.32221318263144771,True,0.32537000914366809
persona,ARG,Q103,altruism,0.19752980696193873,0.098764903480969363,True,0.08467975731881483
uniform,ARG,Q103,altruism,1,0.5,True,0.60179568094505798
human,ARG,Q103,altruism,0.077635111316958647,0.038817555658479323,True,0
adapter,ARG,Q106,risktaking,5.408106120811313,0.48978956897903481,True,0.63453306020061806
adapter_persona,ARG,Q106,risktaking,5.206603929352621,0.46740043659473568,True,0.49332002645612422
armA,ARG,Q106,risktaking,5.5207515843212596,0.50230573159125103,True,0.13263857913655247
armB,ARG,Q106,risktaking,10,1,True,0.90798435118753618
base,ARG,Q106,risktaking,5.4266832344593858,0.49185369271770951,True,0.57366778490633041
base_fixed_USA,ARG,Q106,risktaking,5.406422350591277,0.48960248339903079,True,0.57394836115598424
persona,ARG,Q106,risktaking,5.3865878277091781,0.48739864752324202,True,0.52406309412665097
uniform,ARG,Q106,risktaking,5.5,0.5,True,0.13250899859227194
human,ARG,Q106,risktaking,5.530000295423342,0.50333336615814916,True,0
adapter,ARG,Q107,risktaking,5.1689934310996879,0.46322149234440979,True,0.42697469708951119
adapter_persona,ARG,Q107,risktaking,5.5139619784700944,0.50155133094112159,True,0.228436213162198
armA,ARG,Q107,risktaking,5.5207515843212596,0.50230573159125103,True,0.20967026820780726
armB,ARG,Q107,risktaking,10,1,True,0.90040410469057575
base,ARG,Q107,risktaking,5.6316956880982296,0.51463285423313665,True,0.25948876129805343
base_fixed_USA,ARG,Q107,risktaking,5.6359970598218077,0.51511078442464531,True,0.24599796911228922
persona,ARG,Q107,risktaking,6.2665899922310766,0.58517666580345296,True,0.25393609263714473
uniform,ARG,Q107,risktaking,5.5,0.5,True,0.21066880274510025
human,ARG,Q107,risktaking,6.030527072322216,0.55894745248024624,True,0
adapter,ARG,Q109,risktaking,5.0756941245399307,0.45285490272665896,True,0.54022832501141183
adapter_persona,ARG,Q109,risktaking,5.1359879079863759,0.45955421199848623,True,0.39797201966901169
armA,ARG,Q109,risktaking,5.5207515843212596,0.50230573159125103,True,0.16774753032622122
armB,ARG,Q109,risktaking,10,1,True,0.91923407919446509
base,ARG,Q109,risktaking,5.1801595692905993,0.46446217436562215,True,0.50717667766152164
base_fixed_USA,ARG,Q109,risktaking,5.2018321541790646,0.46687023935322941,True,0.50406851561817212
persona,ARG,Q109,risktaking,5.3810026514385658,0.48677807238206289,True,0.40460793440713438
uniform,ARG,Q109,risktaking,5.5,0.5,True,0.16560569594602997
human,ARG,Q109,risktaking,4.8304901259619504,0.42561001399577225,True,0
adapter,ARG,Q174,posrecip,0.0043315020205639005,0.0043315020205639005,True,0.13781878245708334
adapter_persona,ARG,Q174,posrecip,0.059210256136677034,0.059210256136677034,True,0.082940028340970223
armA,ARG,Q174,posrecip,0.57983965426683426,0.57983965426683426,True,0.43768936978918699
armB,ARG,Q174,posrecip,1,1,True,0.85784971552235278
base,ARG,Q174,posrecip,0.0071214287457351012,0.0071214287457351012,True,0.13502885573191215
base_fixed_USA,ARG,Q174,posrecip,0.0062899021368924002,0.0062899021368924002,True,0.13586038234075482
persona,ARG,Q174,posrecip,0.022977369910025601,0.022977369910025601,True,0.11917291456762161
uniform,ARG,Q174,posrecip,0.5,0.5,True,0.35784971552235278
human,ARG,Q174,posrecip,0.14215028447764724,0.14215028447764724,True,0
adapter,ARG,Q176,negrecip,5.931952229959812,0.54799469221775687,True,0.44558024815566138
adapter_persona,ARG,Q176,negrecip,6.6535840087345832,0.6281760009705093,True,0.25012430238376354
armA,ARG,Q176,negrecip,5.429771363735199,0.49219681819279987,True,0.2420611847742874
armB,ARG,Q176,negrecip,1,0,True,0.84616437489055973
base,ARG,Q176,negrecip,5.5248470768246758,0.5027607863138529,True,0.48675048196659226
base_fixed_USA,ARG,Q176,negrecip,5.5807928879954485,0.50897698755504983,True,0.46111976431601748
persona,ARG,Q176,negrecip,5.7050976009851375,0.522788622331682,True,0.32059859240539251
uniform,ARG,Q176,negrecip,5.5,0.5,True,0.24244400005836669
human,ARG,Q176,negrecip,5.595112721486041,0.51056808016511568,True,0
adapter,ARG,Q177,negrecip,7.3946316880155223,0.71051463200172471,True,0.17990374950494456
adapter_persona,ARG,Q177,negrecip,6.0500232884253045,0.56111369871392269,True,0.41096741265028708
armA,ARG,Q177,negrecip,5.4297713637351972,0.4921968181927997,True,0.28141050091215564
armB,ARG,Q177,negrecip,1,0,True,0.89614180221799722
base,ARG,Q177,negrecip,9.2714888886603468,0.91905432096226081,True,0.47190959342100414
base_fixed_USA,ARG,Q177,negrecip,9.274825983144984,0.91942510923833154,True,0.47600028186538629
persona,ARG,Q177,negrecip,7.1436621930245821,0.68262913255828694,True,0.18649887509445481
uniform,ARG,Q177,negrecip,5.5,0.5,True,0.28102672824958175
human,ARG,Q177,negrecip,6.6020495091060001,0.62244994545622223,True,0
adapter,ARG,Q178,risktaking,5.9274766908163183,0.54749741009070207,True,0.62012353950990051
adapter_persona,ARG,Q178,risktaking,5.7111471396717635,0.52346079329686257,True,0.59264361106151331
armA,ARG,Q178,risktaking,5.5207515843212596,0.50230573159125103,True,0.40298348892151453
armB,ARG,Q178,risktaking,10,1,True,0.98027466777726757
base,ARG,Q178,risktaking,6.0472899274888281,0.56080999194320313,True,0.58315807400184716
base_fixed_USA,ARG,Q178,risktaking,5.9162516417148865,0.54625018241276513,True,0.58223165935176135
persona,ARG,Q178,risktaking,5.9302062778060076,0.54780069753400085,True,0.6053370083820595
uniform,ARG,Q178,risktaking,5.5,0.5,True,0.40172707778270933
human,ARG,Q178,risktaking,3.0999251040381619,0.23332501155979576,True,0
adapter,ARG,Q179,negrecip,7.3216563095946885,0.70240625662163203,True,0.4262129185295021
adapter_persona,ARG,Q179,negrecip,8.0600872216183923,0.78445413573537692,True,0.2730070698168266
armA,ARG,Q179,negrecip,5.4297713637351972,0.4921968181927997,True,0.68269648650012638
armB,ARG,Q179,negrecip,1,0,True,0.99999999999999989
base,ARG,Q179,negrecip,9.4694291359763909,0.94104768177515452,True,0.11792853991399027
base_fixed_USA,ARG,Q179,negrecip,9.4510912345383602,0.93901013717092896,True,0.11626887744246632
persona,ARG,Q179,negrecip,9.3930476535280309,0.93256085039200343,True,0.1632709391018082
uniform,ARG,Q179,negrecip,5.5,0.5,True,0.67890905665697732
human,ARG,Q179,negrecip,9.236714140457595,0.91519046005084392,True,0
adapter,ARG,Q195,negrecip,5.6030498758758682,0.51144998620842985,True,0.66399334924670972
adapter_persona,ARG,Q195,negrecip,3.7396583956076785,0.30440648840085316,True,0.33206040970878903
armA,ARG,Q195,negrecip,5.429771363735199,0.49219681819279987,True,0.44757566266076509
armB,ARG,Q195,negrecip,1,0,True,0.45136811691975803
base,ARG,Q195,negrecip,5.6019156309017575,0.51132395898908412,True,0.65356147362827199
base_fixed_USA,ARG,Q195,negrecip,5.5195581846511379,0.50217313162790422,True,0.64955464652669825
persona,ARG,Q195,negrecip,4.1034584076829415,0.34482871196477127,True,0.37528584367149315
uniform,ARG,Q195,negrecip,5.5,0.5,True,0.45184662436718348
human,ARG,Q195,negrecip,3.2051696660301325,0.24501885178112584,True,0
adapter,BRA,Q43,patience,1.9915373222390176,0.49576866111950879,True,0.74332779412023486
adapter_persona,BRA,Q43,patience,1.9438333044441247,0.47191665222206236,True,0.47204420288953186
armA,BRA,Q43,patience,1.8699799031019206,0.43498995155096032,True,0.1379043059945152
armB,BRA,Q43,patience,1,0,True,0.64508238073722934
base,BRA,Q43,patience,1.9720544194523646,0.4860272097261823,True,0.67305680370000009
base_fixed_USA,BRA,Q43,patience,1.9654621002804156,0.48273105014020778,True,0.66688674043746698
persona,BRA,Q43,patience,2.0344533739291801,0.51722668696459007,True,0.57736547081715073
uniform,BRA,Q43,patience,2,0.5,True,0.096598437601246492
human,BRA,Q43,patience,2.053429865742372,0.52671493287118598,True,0
adapter,BRA,Q50,patience,5.9154099591453466,0.54615666212726077,True,0.72141856744718802
adapter_persona,BRA,Q50,patience,5.6109037962627903,0.51232264402919891,True,0.48675569097434029
armA,BRA,Q50,patience,5.3699799031019211,0.48555332256688011,True,0.21528384131509526
armB,BRA,Q50,patience,1,0,True,0.9033979570208841
base,BRA,Q50,patience,6.320539056170877,0.59117100624120855,True,0.6651007841560177
base_fixed_USA,BRA,Q50,patience,6.3070745276425102,0.58967494751583449,True,0.66186921511473629
persona,BRA,Q50,patience,5.8848554056386124,0.54276171173762355,True,0.56683236983251439
uniform,BRA,Q50,patience,5.5,0.5,True,0.20173973390670447
human,BRA,Q50,patience,6.0555593897095292,0.56172882107883659,True,0
adapter,BRA,Q57,trust,0.0010817152527255003,0.0010817152527255003,True,0.065397720530228381
adapter_persona,BRA,Q57,trust,0.0010649625504390004,0.0010649625504390004,True,0.065414473232514883
armA,BRA,Q57,trust,0.49865543062333018,0.49865543062333018,True,0.43217599484037628
armB,BRA,Q57,trust,0,0,True,0.066479435782953872
base,BRA,Q57,trust,0.26588047309981694,0.26588047309981694,True,0.19940103731686304
base_fixed_USA,BRA,Q57,trust,0.24508501313237169,0.24508501313237169,True,0.17860557734941784
persona,BRA,Q57,trust,0.060086650174007598,0.060086650174007598,True,0.0063927856089462699
uniform,BRA,Q57,trust,0.5,0.5,True,0.4335205642170461
human,BRA,Q57,trust,0.06647943578295383,0.06647943578295383,True,0
adapter,BRA,Q58,trust,3.3471958907385173,0.7823986302461724,True,0.31866407984401024
adapter_persona,BRA,Q58,trust,3.2671887823574712,0.75572959411915708,True,0.36660632276562638
armA,BRA,Q58,trust,2.4986554306233302,0.49955181020777673,True,0.40529944753317776
armB,BRA,Q58,trust,1,0,True,0.97745710364689309
base,BRA,Q58,trust,3.4824117207947269,0.82747057359824228,True,0.17281370738004753
base_fixed_USA,BRA,Q58,trust,3.4583392679043596,0.81944642263478651,True,0.19583379909577148
persona,BRA,Q58,trust,3.7515135420447581,0.91717118068158598,True,0.1808827552387994
uniform,BRA,Q58,trust,2.5,0.5,True,0.40476161981362407
human,BRA,Q58,trust,3.4549670542524522,0.81832235141748411,True,0
adapter,BRA,Q59,trust,2.9858734199083452,0.66195780663611503,True,0.55175495049477552
adapter_persona,BRA,Q59,trust,2.8264720158237573,0.6088240052745858,True,0.39690970183803814
armA,BRA,Q59,trust,2.4986554306233302,0.49955181020777673,True,0.19269642095760309
armB,BRA,Q59,trust,1,0,True,0.80708675837336519
base,BRA,Q59,trust,2.9832703265110219,0.66109010883700725,True,0.48003530648981912
base_fixed_USA,BRA,Q59,trust,2.983595522284181,0.6611985074280603,True,0.48353327920766326
persona,BRA,Q59,trust,2.9424555194647488,0.64748517315491627,True,0.39266079539230114
uniform,BRA,Q59,trust,2.5,0.5,True,0.19269613169886349
human,BRA,Q59,trust,2.4588200177864219,0.48627333926214061,True,0
adapter,BRA,Q60,trust,3.0293094301415531,0.67643647671385099,True,0.466640386178647
adapter_persona,BRA,Q60,trust,3.0143653552791467,0.67145511842638228,True,0.33061173803674665
armA,BRA,Q60,trust,2.4986554306233302,0.49955181020777673,True,0.27484088992760847
armB,BRA,Q60,trust,1,0,True,0.89116180322126159
base,BRA,Q60,trust,3.1813854330712408,0.72712847769041355,True,0.38226357925405424
base_fixed_USA,BRA,Q60,trust,3.1939495615702511,0.731316520523417,True,0.38255418963071897
persona,BRA,Q60,trust,3.1406646405649443,0.71355488018831481,True,0.368959652921242
uniform,BRA,Q60,trust,2.5,0.5,True,0.27484060066886884
human,BRA,Q60,trust,2.618607042139133,0.53953568071304436,True,0
adapter,BRA,Q61,trust,2.6478231453066954,0.54927438176889842,True,0.48239657126405411
adapter_persona,BRA,Q61,trust,2.5457898039692903,0.51526326798976341,True,0.43340859399849635
armA,BRA,Q61,trust,2.4986554306233302,0.49955181020777673,True,0.26819078012519459
armB,BRA,Q61,trust,1,0,True,0.54246640594112905
base,BRA,Q61,trust,2.8851287746917778,0.62837625823059262,True,0.66677323691881074
base_fixed_USA,BRA,Q61,trust,2.8862271848811716,0.62874239496039053,True,0.6688112170542474
persona,BRA,Q61,trust,2.4642836234855676,0.48809454116185585,True,0.46429727224883854
uniform,BRA,Q61,trust,2.5,0.5,True,0.26872860784474828
human,BRA,Q61,trust,1.7987639478287247,0.2662546492762416,True,0
adapter,BRA,Q62,trust,2.9839853410911084,0.66132844703036942,True,0.5016395887816415
adapter_persona,BRA,Q62,trust,2.7871481257265769,0.59571604190885896,True,0.30655835653934926
armA,BRA,Q62,trust,2.4986554306233302,0.49955181020777673,True,0.23706982849802155
armB,BRA,Q62,trust,1,0,True,0.82128245226040786
base,BRA,Q62,trust,2.9828848533647601,0.66096161778825335,True,0.47069074798890126
base_fixed_USA,BRA,Q62,trust,2.9830138094600915,0.66100460315336385,True,0.47677256070241791
persona,BRA,Q62,trust,2.9841680945239504,0.66138936484131683,True,0.37970178962034684
uniform,BRA,Q62,trust,2.5,0.5,True,0.23706953923928192
human,BRA,Q62,trust,2.4695316143516028,0.48984387145053426,True,0
adapter,BRA,Q63,trust,2.9662094783353377,0.65540315944511252,True,0.61038551191817925
adapter_persona,BRA,Q63,trust,2.8192722597258415,0.60642408657528046,True,0.45774493718841081
armA,BRA,Q63,trust,2.4986554306233302,0.49955181020777673,True,0.20495695877634801
armB,BRA,Q63,trust,1,0,True,0.6532497256282066
base,BRA,Q63,trust,2.9781201320889199,0.6593733773629733,True,0.57510078487321281
base_fixed_USA,BRA,Q63,trust,2.9708565747832969,0.6569521915944323,True,0.57048900838497463
persona,BRA,Q63,trust,2.9420548405883311,0.6473516135294437,True,0.50138340702207596
uniform,BRA,Q63,trust,2.5,0.5,True,0.20536018497553629
human,BRA,Q63,trust,2.0945690452242594,0.36485634840808645,True,0
adapter,BRA,Q64,trust,2.5352659332208765,0.51175531107362549,True,0.29923966892211173
adapter_persona,BRA,Q64,trust,2.6231131168680415,0.5410377056226805,True,0.23173501918929745
armA,BRA,Q64,trust,2.4986554306233302,0.49955181020777673,True,0.23710959506281831
armB,BRA,Q64,trust,1,0,True,0.86420962916073241
base,BRA,Q64,trust,2.7263790113469155,0.57545967044897184,True,0.19717606952862501
base_fixed_USA,BRA,Q64,trust,2.7121755996547465,0.57072519988491555,True,0.19508186507369521
persona,BRA,Q64,trust,2.7554957728967162,0.5851652576322387,True,0.097790959885659418
uniform,BRA,Q64,trust,2.5,0.5,True,0.23697499354245297
human,BRA,Q64,trust,2.7491332527061911,0.58304441756873038,True,0
adapter,BRA,Q69,trust,2.5834803458004925,0.52782678193349752,True,0.32300348636360732
adapter_persona,BRA,Q69,trust,2.1842767680294348,0.39475892267647827,True,0.52965021595517958
armA,BRA,Q69,trust,2.4986554306233302,0.49955181020777673,True,0.18306606774933254
armB,BRA,Q69,trust,1,0,True,0.78582054668352908
base,BRA,Q69,trust,2.8205259386540593,0.60684197955135311,True,0.26357287695558806
